Date,Close
2026-05-11,18.38
2026-05-12,17.99
2026-05-13,17.87
2026-05-14,17.26
2026-05-15,18.43
2026-05-18,17.82
2026-05-19,18.06
2026-05-20,17.44
2026-05-21,16.76
2026-05-22,16.7
2026-05-26,17.01
2026-05-27,16.29
2026-05-28,15.74
2026-05-29,15.32
2026-06-01,16.05
2026-06-02,15.77
2026-06-03,16.06
2026-06-04,15.4
2026-06-05,21.51
2026-06-08,18.92
2026-06-09,19.87
2026-06-10,22.22
2026-06-11,19.44
2026-06-12,17.68
2026-06-15,16.2
2026-06-16,16.41
2026-06-17,18.44
2026-06-18,16.4
2026-06-22,17.28
2026-06-23,19.49
2026-06-24,18.63
2026-06-25,18.89
2026-06-26,18.41
2026-06-29,17.65
2026-06-30,16.45
2026-07-01,16.59
2026-07-02,16.15
2026-07-06,15.57
2026-07-07,16.13
